AFF_LOVE_POINT	Sevgi Puani: %%%d
ALIGNMENT_NAME	Siralamasi Puanlari:
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldiri Hatasi: %s
CANNOT_ATTACK_DEST_IN_SAFE	Savasci cok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldiramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zirhini degistiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zirhini degistiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda ozel depo acamazsin.
CANNOT_SHOOT_DEST_IN_SAFE	Dusman cok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacim var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklasamam.
CANNOT_SKILL_ATTACK	Saldiramam.
CANNOT_SKILL_DEST_IN_SAFE	Dusman cok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacim var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan once bir ata ihtiyacim var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Bos bir sisem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli sisem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_ENOUGH_ST	Nie mam wystarczającej ilości ST!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at surerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi ogrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup uyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece oluleri etkiler.
CANNOT_SKILL_RED	Civit kurt ruhu etkinken, kirmizi kurt ruhunu kullanamazsin.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldiramam.
CANNOT_SKILL_USE_SELF	Bunu kendi uzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henuz bu beceriyi kullanamam.
CANNOT_SKILL_ON_DEBUFF	Nie mogę użyć w trakcie trwania innego efektu.
CANNOT_USE	Onu kullanamazsin.
CANNOT_WHISPER_DEST_REFUSE	%s fisildamayi blokladi.	SA	SA
CANNOT_WHISPER_NOT_LOGON	%s bagli degil.	SA	SA
CANNOT_WHISPER_SELF_REFUSE	Fisildamayi blokladiginda birine birsey fisildayamazsin.	SNA	SNA
CANNOT_WHISPER_TARGET_IS_BLOCKED	Nie możesz szeptać do zablokowanej osoby.	SNA
CANNOT_WHISPER_YOU_ARE_BLOCKED	Zostałeś zablokowany przez gracza do którego chcesz szeptać.	SNA
CANNOT_WHISPER_LOW_LEVEL	Szept bez konta Premium dostępny jest od 15 poziomu i 1000 zabitych potworów.	SNA
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranina tekrar donemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lutfen baska bir kanal seciniz.
CHANNEL_NOT_FIND_INFO	Kanal uzerinden herhangi bir bilgiye ulasilamadi.
CHANNEL_PVP	Serbest duello
CHANNEL_SELECT_CHANNEL	Kanal Sec
CHANNEL_SELECT_REGION	Bolge sec.
CHANNEL_SELECT_SERVER	Sunucu sec
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter olustur
CHARACTER_SELECT_MODE	Karakter sec
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cumle yanlis kelimeler iceriyor.
CHAT_LOG	Eski mesaji goster[L]
CHAT_LOG_TITLE	Sohbet Protokolu
CHAT_NORMAL	Normal
CHAT_NOTICE	Duyuru
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fisilti gonder[Shift+Enter]
CHAT_TRADE	Handel
CHAT_TRADE_LIMIT	Czat handlowy posiada ograniczenie 30 sekund od poprzedniej wiadomości.
CHAT_SHOUT	Bagirmak
CHAT_SHOUT_LIMIT	15 saniyede bir bagirabilirsiniz.
CHAT_WHISPER	Fisildama
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Bu nesne kullanilamaz.
COMB_CANT_APPEND_SEALED_ITEM	Ruha bagli nesneler kullanamazsin.
COMB_COST	Ucret: %s
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitaplari takas etmek isterken ozel dukkan acamazsin.
COMB_NOTICE_NOT_OPEN	Ozel dukkan acikken kitap takas edemezsin.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Bonus aktarmak icin 2. bir kostume ihtiyacin var.
COMB_NOT_FULL_BOOK	Yok, biz boyle anlasamayiz. Sana anlattigim gibi, takas sadece bana 10 kitap verirsen olur.
COMB_NOT_ITEM_IN_INVENTORY	Kusandigin esyalari kullanamazsin.
COMB_NOT_MEDIUM_ITEM	Bu nesne kullanilamaz.
